ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,BLOCK,D,VelChange,Goomba,None,vy
BLOCK,Goomba,U,VelChange,Goomba,None,vy
Mario,TUBE_TOP_LEFT,D,VelChange,Mario,None,vy
TUBE_TOP_LEFT,Mario,U,VelChange,Mario,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx
Mario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,Mario,U,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,Add,Mushroom,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,Add,Mushroom,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mushroom,4,D,VelChange,Mushroom,None,vy
4,Mushroom,U,VelChange,Mushroom,None,vy
Mushroom,SPENT,D,VelChange,Mushroom,None,vy
SPENT,Mushroom,U,VelChange,Mushroom,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,SPENT,L,VelChange,BigMario,None,vx
SPENT,BigMario,R,VelChange,BigMario,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,SPENT,L,None,None,None,None
SPENT,BigMario,R,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,SPENT,L,None,None,None,None
SPENT,BigMario,R,None,None,None,None
BigMario,SPENT,D,VelChange,BigMario,None,vy
SPENT,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,Add,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,Add,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,SPENT,D,VelChange,BigMario,None,vx
SPENT,BigMario,U,VelChange,BigMario,None,vx
BigMario,SPENT,U,VelChange,BigMario,None,vy
SPENT,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,COIN,R,Delete,Coin,None,None
COIN,BigMario,L,Delete,Coin,None,None
BigMario,COIN,R,Delete,Coin,None,None
COIN,BigMario,L,Delete,Coin,None,None
BigMario,COIN,R,Delete,Coin,None,None
COIN,BigMario,L,Delete,Coin,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vx
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,BigMario,L,None,None,None,None
