ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,Goomba,U,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Goomba,COIN,L,VelChange,Goomba,None,vy
COIN,Goomba,R,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
BigMario,COIN,D,Delete,Coin,None,None
BigMario,COIN,D,Delete,Coin,None,None
COIN,BigMario,U,Delete,Coin,None,None
COIN,BigMario,U,Delete,Coin,None,None
BigMario,COIN,D,Delete,Coin,None,None
BigMario,COIN,D,Delete,Coin,None,None
COIN,BigMario,U,Delete,Coin,None,None
COIN,BigMario,U,Delete,Coin,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,COIN,D,Delete,Coin,None,None
COIN,BigMario,U,Delete,Coin,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,HILL_LEFT,D,None,None,None,None
HILL_LEFT,BigMario,U,None,None,None,None
BigMario,HILL_TOP_LEFT,R,None,None,None,None
HILL_TOP_LEFT,BigMario,L,None,None,None,None
BigMario,HILL_LEFT,R,None,None,None,None
HILL_LEFT,BigMario,L,None,None,None,None
BigMario,HILL_LEFT,D,None,None,None,None
HILL_LEFT,BigMario,U,None,None,None,None
BigMario,HILL_FILL,R,None,None,None,None
HILL_FILL,BigMario,L,None,None,None,None
BigMario,HILL_FILL,D,None,None,None,None
HILL_FILL,BigMario,U,None,None,None,None
BigMario,HILL_TOP,R,None,None,None,None
HILL_TOP,BigMario,L,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,HILL_FILL,U,None,None,None,None
HILL_FILL,BigMario,D,None,None,None,None
BigMario,HILL_TOP,U,None,None,None,None
HILL_TOP,BigMario,D,None,None,None,None
Goomba,RIGHT_GRASS_EDGE,L,VelChange,Goomba,None,vx
RIGHT_GRASS_EDGE,Goomba,R,VelChange,Goomba,None,vx
BigMario,HILL_TOP,R,VelChange,Goomba,None,vx
HILL_TOP,BigMario,L,VelChange,Goomba,None,vx
BigMario,HILL_LEFT,R,None,None,None,None
HILL_LEFT,BigMario,L,None,None,None,None
BigMario,HILL_TOP_LEFT,U,None,None,None,None
HILL_TOP_LEFT,BigMario,D,None,None,None,None
BigMario,HILL_TOP_LEFT,R,None,None,None,None
HILL_TOP_LEFT,BigMario,L,None,None,None,None
BigMario,HILL_TOP,R,None,None,None,None
HILL_TOP,BigMario,L,None,None,None,None
BigMario,HILL_TOP,U,None,None,None,None
HILL_TOP,BigMario,D,None,None,None,None
BigMario,HILL_FILL,R,None,None,None,None
HILL_FILL,BigMario,L,None,None,None,None
BigMario,HILL_TOP,R,None,None,None,None
HILL_TOP,BigMario,L,None,None,None,None
BigMario,HILL_TOP,D,VelChange,BigMario,None,vy
HILL_TOP,BigMario,U,VelChange,BigMario,None,vy
BigMario,HILL_TOP_RIGHT_IN,D,None,None,None,None
HILL_TOP_RIGHT_IN,BigMario,U,None,None,None,None
BigMario,HILL_FILL,R,None,None,None,None
HILL_FILL,BigMario,L,None,None,None,None
BigMario,HILL_FILL,R,None,None,None,None
HILL_FILL,BigMario,L,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,None,None,None,None
TUBE_SIDE_LEFT,BigMario,L,None,None,None,None
BigMario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,BigMario,L,None,None,None,None
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,BigMario,U,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vx
GROUND,BigMario,U,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vx
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vx
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_SIDE_LEFT,R,None,None,None,None
TUBE_SIDE_LEFT,BigMario,L,None,None,None,None
BigMario,TUBE_TOP_LEFT,R,None,None,None,None
