ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,Mario,U,None,None,None,None
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
Shell,7,D,None,None,None,None
7,Shell,U,None,None,None,None
Shell,GROUND,D,None,None,None,None
GROUND,Shell,U,None,None,None,None
Shell,6,R,VelChange,Shell,None,vx
6,Shell,L,VelChange,Shell,None,vx
Shell,TUBE_SIDE_LEFT,R,VelChange,Shell,None,vx
TUBE_SIDE_LEFT,Shell,L,VelChange,Shell,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx
Shell,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vx
LEFT_UP_GRASS_EDGE,Shell,U,VelChange,Mario,None,vx
Shell,8,D,VelChange,Mario,None,vx
8,Shell,U,VelChange,Mario,None,vx
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx
Mario,TUBE_SIDE_LEFT,R,None,None,None,None
TUBE_SIDE_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,D,None,None,None,None
TUBE_TOP_LEFT,Mario,U,None,None,None,None
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,BLOCK,D,VelChange,Goomba,None,vy
BLOCK,Goomba,U,VelChange,Goomba,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Bush,BigMario,U,VelChange,Mario,None,vy
BigMario,Bush,D,VelChange,Mario,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,SPENT,U,VelChange,Mario,None,vy
SPENT,Mario,D,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
