ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Goomba,HILL_LEFT,L,None,None,None,None
HILL_LEFT,Goomba,R,None,None,None,None
Goomba,HILL_LEFT,D,None,None,None,None
HILL_LEFT,Goomba,U,None,None,None,None
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,HILL_LEFT,D,None,None,None,None
HILL_LEFT,Goomba,U,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,HILL_LEFT,R,None,None,None,None
HILL_LEFT,Mario,L,None,None,None,None
Mario,HILL_FILL,R,None,None,None,None
HILL_FILL,Mario,L,None,None,None,None
Mario,HILL_FILL,D,None,None,None,None
HILL_FILL,Mario,U,None,None,None,None
Mario,HILL_FILL,D,None,None,None,None
HILL_FILL,Mario,U,None,None,None,None
Mario,HILL_FILL,D,None,None,None,None
HILL_FILL,Mario,U,None,None,None,None
Mario,HILL_FILL,D,None,None,None,None
HILL_FILL,Mario,U,None,None,None,None
Mario,HILL_RIGHT,R,None,None,None,None
HILL_RIGHT,Mario,L,None,None,None,None
Mario,BLOCK,R,VelChange,Mario,None,vx
BLOCK,Mario,L,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,VelChange,Mario,None,vy
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,VelChange,Mario,None,vy
Mario,BLOCK,U,Delete,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Delete,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vx
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,Add,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,Add,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Goomba,GROUND,D,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Mario,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Goomba,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Goomba,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,HILL_LEFT,R,None,None,None,None
HILL_LEFT,Mario,L,None,None,None,None
Mario,HILL_TOP_LEFT,U,None,None,None,None
HILL_TOP_LEFT,Mario,D,None,None,None,None
Mario,HILL_TOP_LEFT,R,None,None,None,None
HILL_TOP_LEFT,Mario,L,None,None,None,None
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Mario,HILL_TOP,D,VelChange,Mario,None,vy
HILL_TOP,Mario,U,VelChange,Mario,None,vy
Goomba,HILL_LEFT,L,None,None,None,None
HILL_LEFT,Goomba,R,None,None,None,None
