ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Fireball,8,R,Delete,Fireball,None,None
Fireball,8,R,VelChange,Fireball,None,vx
Fireball,8,R,VelChange,FireMario,None,vx
8,Fireball,L,Delete,Fireball,None,None
8,Fireball,L,VelChange,Fireball,None,vx
8,Fireball,L,VelChange,FireMario,None,vx
Fireball,LEFT_UP_GRASS_EDGE,R,Delete,Fireball,None,None
Fireball,LEFT_UP_GRASS_EDGE,R,VelChange,Fireball,None,vx
Fireball,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_UP_GRASS_EDGE,Fireball,L,Delete,Fireball,None,None
LEFT_UP_GRASS_EDGE,Fireball,L,VelChange,Fireball,None,vx
LEFT_UP_GRASS_EDGE,Fireball,L,VelChange,FireMario,None,vx
FireMario,LEFT_UP_GRASS_EDGE,R,Delete,Fireball,None,None
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,Fireball,None,vx
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_UP_GRASS_EDGE,FireMario,L,Delete,Fireball,None,None
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,Fireball,None,vx
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
FireMario,GROUND,D,VelChange,FireMario,None,vx
FireMario,GROUND,D,VelChange,FireMario,None,vy
GROUND,FireMario,U,VelChange,FireMario,None,vx
GROUND,FireMario,U,VelChange,FireMario,None,vy
FireMario,LEFT_GRASS_EDGE,R,VelChange,FireMario,None,vx
FireMario,LEFT_GRASS_EDGE,R,VelChange,FireMario,None,vy
LEFT_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
LEFT_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vy
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vy
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vy
FireMario,LEFT_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
Fireball,2,D,VelChange,Fireball,None,vy
Fireball,2,D,append,Fireball,None,None
Fireball,2,D,VelChange,FireMario,None,vx
2,Fireball,U,VelChange,Fireball,None,vy
2,Fireball,U,append,Fireball,None,None
2,Fireball,U,VelChange,FireMario,None,vx
Fireball,LEFT_GRASS_EDGE,D,VelChange,Fireball,None,vy
Fireball,LEFT_GRASS_EDGE,D,append,Fireball,None,None
Fireball,LEFT_GRASS_EDGE,D,VelChange,FireMario,None,vx
LEFT_GRASS_EDGE,Fireball,U,VelChange,Fireball,None,vy
LEFT_GRASS_EDGE,Fireball,U,append,Fireball,None,None
LEFT_GRASS_EDGE,Fireball,U,VelChange,FireMario,None,vx
FireMario,LEFT_GRASS_EDGE,R,VelChange,Fireball,None,vy
FireMario,LEFT_GRASS_EDGE,R,append,Fireball,None,None
FireMario,LEFT_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_GRASS_EDGE,FireMario,L,VelChange,Fireball,None,vy
LEFT_GRASS_EDGE,FireMario,L,append,Fireball,None,None
LEFT_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,Fireball,None,vy
FireMario,LEFT_UP_GRASS_EDGE,R,append,Fireball,None,None
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,Fireball,None,vy
LEFT_UP_GRASS_EDGE,FireMario,L,append,Fireball,None,None
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx
Fireball,GROUND,R,Delete,Fireball,None,None
Fireball,GROUND,R,VelChange,Fireball,None,vx
GROUND,Fireball,L,Delete,Fireball,None,None
GROUND,Fireball,L,VelChange,Fireball,None,vx
Fireball,7,R,Delete,Fireball,None,None
Fireball,7,R,VelChange,Fireball,None,vx
7,Fireball,L,Delete,Fireball,None,None
7,Fireball,L,VelChange,Fireball,None,vx
FireMario,GROUND,D,VelChange,FireMario,None,vy
GROUND,FireMario,U,VelChange,FireMario,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,Fireball,L,VelChange,Goomba,None,vy
Fireball,Goomba,R,VelChange,Goomba,None,vy
Goomba,HILL_FILL,L,None,None,None,None
HILL_FILL,Goomba,R,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Fireball,GROUND,D,VelChange,Fireball,None,vy
GROUND,Fireball,U,VelChange,Fireball,None,vy
Fireball,7,D,VelChange,Fireball,None,vy
7,Fireball,U,VelChange,Fireball,None,vy
Goomba,Fireball,L,VelChange,Fireball,None,vy
Fireball,Goomba,R,VelChange,Fireball,None,vy
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,append,Fireball,None,None
Fireball,Goomba,R,append,Fireball,None,None
Goomba,Fireball,L,append,Fireball,None,None
Fireball,Goomba,R,append,Fireball,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,L,VelChange,Fireball,None,vy
Fireball,Goomba,R,VelChange,Fireball,None,vy
Goomba,Fireball,L,VelChange,Fireball,None,vy
Fireball,Goomba,R,VelChange,Fireball,None,vy
Fireball,6,D,VelChange,Fireball,None,vy
6,Fireball,U,VelChange,Fireball,None,vy
Fireball,RIGHT_UP_GRASS_EDGE,D,VelChange,Fireball,None,vy
RIGHT_UP_GRASS_EDGE,Fireball,U,VelChange,Fireball,None,vy
Goomba,HILL_LEFT,L,VelChange,Fireball,None,vy
HILL_LEFT,Goomba,R,VelChange,Fireball,None,vy
Goomba,HILL_LEFT,D,VelChange,Fireball,None,vy
HILL_LEFT,Goomba,U,VelChange,Fireball,None,vy
Goomba,Fireball,L,VelChange,Fireball,None,vy
Fireball,Goomba,R,VelChange,Fireball,None,vy
Goomba,Fireball,L,VelChange,Fireball,None,vy
Fireball,Goomba,R,VelChange,Fireball,None,vy
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Goomba,HILL_FILL,D,None,None,None,None
HILL_FILL,Goomba,U,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Goomba,Fireball,L,None,None,None,None
Fireball,Goomba,R,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Fireball,HILL_TOP_LEFT,R,None,None,None,None
HILL_TOP_LEFT,Fireball,L,None,None,None,None
Fireball,HILL_LEFT,D,None,None,None,None
HILL_LEFT,Fireball,U,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Goomba,Fireball,D,None,None,None,None
Fireball,Goomba,U,None,None,None,None
Fireball,HILL_FILL,R,VelChange,Fireball,None,vy
Fireball,HILL_FILL,R,Delete,Goomba,None,None
Fireball,HILL_FILL,R,Delete,Fireball,None,None
HILL_FILL,Fireball,L,VelChange,Fireball,None,vy
HILL_FILL,Fireball,L,Delete,Goomba,None,None
HILL_FILL,Fireball,L,Delete,Fireball,None,None
Fireball,HILL_FILL,D,VelChange,Fireball,None,vy
Fireball,HILL_FILL,D,Delete,Goomba,None,None
Fireball,HILL_FILL,D,Delete,Fireball,None,None
HILL_FILL,Fireball,U,VelChange,Fireball,None,vy
HILL_FILL,Fireball,U,Delete,Goomba,None,None
HILL_FILL,Fireball,U,Delete,Fireball,None,None
Fireball,HILL_LEFT,D,VelChange,Fireball,None,vy
Fireball,HILL_LEFT,D,Delete,Goomba,None,None
Fireball,HILL_LEFT,D,Delete,Fireball,None,None
HILL_LEFT,Fireball,U,VelChange,Fireball,None,vy
HILL_LEFT,Fireball,U,Delete,Goomba,None,None
HILL_LEFT,Fireball,U,Delete,Fireball,None,None
Goomba,Fireball,D,VelChange,Fireball,None,vy
Goomba,Fireball,D,Delete,Goomba,None,None
Goomba,Fireball,D,Delete,Fireball,None,None
Fireball,Goomba,U,VelChange,Fireball,None,vy
Fireball,Goomba,U,Delete,Goomba,None,None
Fireball,Goomba,U,Delete,Fireball,None,None
Goomba,Fireball,D,VelChange,Fireball,None,vy
Goomba,Fireball,D,Delete,Goomba,None,None
Goomba,Fireball,D,Delete,Fireball,None,None
Fireball,Goomba,U,VelChange,Fireball,None,vy
Fireball,Goomba,U,Delete,Goomba,None,None
Fireball,Goomba,U,Delete,Fireball,None,None
Fireball,HILL_TOP_LEFT,R,VelChange,Fireball,None,vy
HILL_TOP_LEFT,Fireball,L,VelChange,Fireball,None,vy
Fireball,HILL_TOP_LEFT,D,VelChange,Fireball,None,vy
HILL_TOP_LEFT,Fireball,U,VelChange,Fireball,None,vy
Fireball,4,D,VelChange,Fireball,None,vy
4,Fireball,U,VelChange,Fireball,None,vy
Fireball,HILL_TOP,R,VelChange,FireMario,None,vy
HILL_TOP,Fireball,L,VelChange,FireMario,None,vy
FireMario,HILL_TOP_LEFT,D,VelChange,FireMario,None,vy
HILL_TOP_LEFT,FireMario,U,VelChange,FireMario,None,vy
FireMario,HILL_TOP,D,None,None,None,None
HILL_TOP,FireMario,U,None,None,None,None
Bush,GreenKoopa,R,None,None,None,None
GreenKoopa,Bush,L,None,None,None,None
FireMario,HILL_TOP_RIGHT,D,None,None,None,None
HILL_TOP_RIGHT,FireMario,U,None,None,None,None
Bush,RedKoopa,R,None,None,None,None
RedKoopa,Bush,L,None,None,None,None
Fireball,GROUND,D,VelChange,Fireball,None,vy
Fireball,GROUND,D,VelChange,Fireball,None,vy
GROUND,Fireball,U,VelChange,Fireball,None,vy
GROUND,Fireball,U,VelChange,Fireball,None,vy
Fireball,7,D,VelChange,Fireball,None,vy
Fireball,7,D,VelChange,Fireball,None,vy
7,Fireball,U,VelChange,Fireball,None,vy
7,Fireball,U,VelChange,Fireball,None,vy
Fireball,GROUND,D,VelChange,Fireball,None,vy
Fireball,GROUND,D,VelChange,Fireball,None,vy
GROUND,Fireball,U,VelChange,Fireball,None,vy
GROUND,Fireball,U,VelChange,Fireball,None,vy
Fireball,7,D,VelChange,Fireball,None,vy
Fireball,7,D,VelChange,Fireball,None,vy
7,Fireball,U,VelChange,Fireball,None,vy
